x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8
50000,102,50000,101,50000,122,50000,127,50000,97,50000,111,50000,120,50000,145
50000,95,50000,121,50000,111,50000,119,50000,100,50000,104,50000,107,50000,149
100000,177,100000,232,100000,217,100000,238,50000,98,50000,100,50000,105,50000,153
100000,212,100000,222,100000,232,100000,293,50000,98,100000,258,100000,254,100000,325
150000,324,150000,331,150000,430,150000,539,100000,211,100000,283,100000,318,100000,354
150000,368,150000,372,150000,372,150000,625,100000,179,100000,194,100000,267,100000,259
200000,576,200000,503,200000,670,200000,1039,100000,178,150000,358,150000,363,150000,584
200000,634,200000,491,200000,732,200000,943,150000,709,150000,319,150000,482,150000,563
,,,,,,,,150000,464,150000,386,150000,373,150000,519
,,,,,,,,150000,470,200000,435,200000,547,,
,,,,,,,,200000,628,200000,509,200000,606,,
,,,,,,,,200000,607,200000,627,200000,646,,
,,,,,,,,200000,610,,,,,,
