x0,y0
1,44.881
2,9.541
3,7.674
4,7.534
5,6.575
6,6.935
7,7.199
8,7.536
9,7.185
10,7.362
11,7.03
12,6.81
13,6.593
14,6.264
15,6.895
16,6.93
17,6.813
18,7.163
19,6.746
20,7.089
21,6.954
22,6.824
23,6.706
24,6.896
25,6.536
26,6.925
27,6.943
28,10.373
29,6.32
30,6.933
31,8.098
32,12.54
33,7.297
34,6.505
35,6.341
36,6.635
37,6.62
38,6.326
39,6.292
40,6.208
41,6.544
42,6.232
43,6.609
44,6.83
45,6.558
46,6.699
47,6.252
48,7.096
49,6.598
50,6.478
51,6.631
52,6.669
53,6.598
54,6.427
55,6.735
56,6.809
57,6.512
58,6.957
59,6.239
60,6.232
61,7.305
62,6.195
63,6.525
64,7.02
65,6.695
66,6.443
67,6.369
68,6.721
69,6.632
70,6.324
71,6.135
72,6.535
73,6.116
74,6.889
75,6.224
76,6.604
77,6.171
78,6.57
79,6.263
80,6.895
81,6.619
82,7.518
83,6.434
84,9.73
85,6.074
86,6.888
87,6.612
88,6.652
89,6.935
90,6.327
91,6.536
92,6.35
93,6.664
94,6.221
95,6.107
96,6.783
97,6.525
98,6.456
99,6.657
100,6.515
101,6.528
102,6.777
103,7.756
104,6.67
105,6.532
106,6.238
107,6.913
108,6.661
109,6.2
110,6.112
111,6.606
112,6.382
113,6.631
114,6.458
115,6.103
116,6.192
117,6.398
118,6.585
119,6.489
120,6.153
121,6.407
122,6.148
123,6.239
124,6.494
125,6.491
126,6.562
127,6.678
128,6.252
129,6.106
130,6.144
131,7.014
132,6.437
133,6.19
134,6.263
135,6.565
136,6.569
137,6.193
138,6.41
139,6.702
140,6.237
141,6.56
142,6.342
143,6.583
144,6.126
145,6.511
146,6.396
147,6.108
148,6.187
149,6.065
150,6.583
151,6.091
152,6.055
153,6.402
154,6.519
155,6.096
156,6.502
157,6.345
158,6.479
159,6.731
160,6.662
161,6.202
162,6.559
163,6.594
164,6.499
165,6.175
166,9.113
167,6.577
168,6.48
169,6.701
170,6.507
171,6.112
172,6.204
173,6.043
174,6.495
175,6.546
176,6.426
177,6.139
178,6.388
179,6.205
180,6.195
181,6.087
182,6.065
183,6.082
184,6.183
185,6.156
186,6.121
187,6.257
188,6.495
189,6.481
190,6.657
191,6.2
192,6.204
193,6.277
194,6.664
195,6.021
196,6.044
197,6.193
198,6.602
199,6.057
200,6.16
201,6.159
202,6.059
203,6.471
204,6.726
205,7.365
206,6.508
207,6.151
208,6.245
209,6.354
210,6.492
211,6.15
212,6.123
213,6.546
214,6.058
215,6.523
216,6.028
217,6.181
218,6.12
219,6.575
220,6.212
221,6.034
222,6.103
223,6.205
224,6.767
225,6.556
226,6.714
227,6.432
228,6.527
229,6.477
230,6.41
231,6.183
232,6.428
233,6.7
234,6.45
235,6.144
236,6.648
237,6.597
238,6.651
239,6.531
240,6.089
241,6.421
242,6.625
243,6.24
244,6.124
245,6.128
246,6.62
247,6.158
248,6.639
249,6.75
250,6.577
251,6.194
252,6.404
253,6.257
254,6.17
255,6.193
256,6.55
257,6.668
258,6.901
259,6.198
260,6.629
261,6.565
262,6.957
263,6.683
264,6.181
265,6.591
266,6.478
267,6.778
268,6.113
269,6.348
270,6.121
271,6.498
272,6.137
273,6.72
274,6.66
275,6.122
276,6.007
277,6.09
278,6.36
279,9.623
280,6.299
281,6.651
282,6.122
283,6.687
284,6.107
285,6.468
286,6.05
287,6.861
288,6.416
289,6.216
290,6.742
291,6.551
292,6.457
293,6.574
294,6.44
295,6.72
296,6.546
297,6.598
298,7.544
299,6.841
300,6.227
301,6.307
302,6.711
303,6.429
304,6.49
305,6.736
306,6.369
307,8.196
308,6.775
309,6.282
310,6.274
311,6.237
312,6.8
313,6.219
314,6.136
315,6.207
316,6.373
317,7.053
318,6.599
319,6.627
320,6.335
321,6.178
322,6.121
323,6.171
324,6.874
325,6.167
326,6.678
327,6.098
328,6.163
329,6.127
330,6.153
331,6.087
332,6.674
333,6.577
334,6.341
335,6.431
336,6.533
337,6.526
338,6.414
339,6.451
340,6.433
341,6.587
342,6.359
343,6.684
344,6.11
345,6.687
346,6.485
347,6.644
348,6.615
349,6.327
350,6.097
351,6.723
352,6.855
353,6.738
354,6.46
355,6.194
356,6.395
357,6.659
358,6.177
359,6.168
360,6.227
361,6.653
362,6.065
363,6.105
364,6.192
365,6.082
366,6.087
367,6.183
368,6.816
369,6.688
370,6.424
371,6.135
372,6.047
373,6.101
374,6.63
375,6.57
376,6.13
377,6.779
378,6.189
379,6.461
380,6.566
381,6.524
382,6.309
383,6.542
384,6.709
385,6.095
386,6.709
387,6.333
388,6.665
389,6.615
390,7.236
391,6.509
392,6.362
393,6.308
394,6.645
395,6.537
396,6.098
397,8.153
398,10.576
399,6.32
400,6.948
401,6.109
402,6.042
403,6.391
404,6.707
405,6.363
406,6.611
407,6.458
408,6.073
409,6.017
410,7.369
411,6.779
412,6.344
413,6.106
414,6.481
415,6.373
